time,user_id,eeg_1,eeg_2,emg_1,emg_2,blink_l,blink_r,gaze_x,gaze_y,gaze_z,event_label
2026-06-02 09:13:02.288+00,6021713,13.443633913993835,-6.534799933433533,25.992125272750854,23.640409111976624,,,,,,Null
2026-06-02 09:13:02.292+00,6021713,13.44403624534607,-6.5216124057769775,25.99811553955078,23.666203022003174,,,,,,Null
2026-06-02 09:13:02.292+00,6021713,,,,,1,1,0.038970671594142914,0.23584116995334625,-4.155327320098877,Null
2026-06-02 09:13:02.296+00,6021713,13.430669903755188,-6.522417068481445,25.973662734031677,23.650512099266052,,,,,,Null
2026-06-02 09:13:02.3+00,6021713,13.41480016708374,-6.528228521347046,25.966420769691467,23.632362484931946,,,,,,Null
2026-06-02 09:13:02.304+00,6021713,13.411089777946472,-6.525635719299316,25.952115654945374,23.6281156539917,,,,,,Null
2026-06-02 09:13:02.308+00,6021713,13.419762253761292,-6.528317928314209,25.97688138484955,23.640453815460205,,,,,,Null
2026-06-02 09:13:02.312+00,6021713,13.44926655292511,-6.531223654747009,26.01255476474762,23.656681180000305,,,,,,Null
2026-06-02 09:13:02.316+00,6021713,13.462454080581665,-6.542176008224487,26.01434290409088,23.640677332878113,,,,,,Null
2026-06-02 09:13:02.32+00,6021713,13.443052768707275,-6.5553635358810425,25.98327398300171,23.632854223251343,,,,,,Null
2026-06-02 09:13:02.324+00,6021713,13.427361845970154,-6.535381078720093,25.94970166683197,23.641571402549744,,,,,,Null
2026-06-02 09:13:02.324+00,6021713,,,,,1,1,0.0362621434032917,0.23442110419273376,-4.15786075592041,Null
2026-06-02 09:13:02.328+00,6021713,13.42146098613739,-6.525188684463501,25.961369276046753,23.651227355003357,,,,,,Null
2026-06-02 09:13:02.332+00,6021713,13.422176241874695,-6.53444230556488,26.00419521331787,23.67447316646576,,,,,,Null
2026-06-02 09:13:02.336+00,6021713,13.438358902931213,-6.537124514579773,26.01805329322815,23.668617010116577,,,,,,Null
2026-06-02 09:13:02.34+00,6021713,13.43737542629242,-6.535470485687256,25.987744331359863,23.648276925086975,,,,,,Null
2026-06-02 09:13:02.34+00,6021713,,,,,1,1,0.03483954444527626,0.23369255661964417,-4.159053325653076,Null
2026-06-02 09:13:02.344+00,6021713,13.430535793304443,-6.526172161102295,25.975540280342102,23.645415902137756,,,,,,Null
2026-06-02 09:13:02.348+00,6021713,13.42812180519104,-6.520986557006836,25.987833738327026,23.658111691474915,,,,,,Null
2026-06-02 09:13:02.352+00,6021713,13.422936201095581,-6.525814533233643,25.99087357521057,23.67308735847473,,,,,,Null
2026-06-02 09:13:02.356+00,6021713,13.416364789009094,-6.5283626317977905,25.975093245506287,23.664817214012146,,,,,,Null
2026-06-02 09:13:02.356+00,6021713,,,,,1,1,0.03507108986377716,0.23301583528518677,-4.160322189331055,Null
2026-06-02 09:13:02.36+00,6021713,13.419851660728455,-6.53877854347229,25.97084641456604,23.637190461158752,,,,,,Null
2026-06-02 09:13:02.364+00,6021713,13.435229659080505,-6.531000137329102,25.965705513954163,23.624271154403687,,,,,,Null
2026-06-02 09:13:02.368+00,6021713,13.439387083053589,-6.5263062715530396,25.975361466407776,23.64403009414673,,,,,,Null
2026-06-02 09:13:02.372+00,6021713,13.42843472957611,-6.526440382003784,25.984659790992737,23.671969771385193,,,,,,Null
2026-06-02 09:13:02.376+00,6021713,13.419941067695618,-6.535694003105164,25.968700647354126,23.655518889427185,,,,,,Null
2026-06-02 09:13:02.38+00,6021713,13.419046998023987,-6.542891263961792,25.951847434043884,23.629143834114075,,,,,,Null
2026-06-02 09:13:02.384+00,6021713,13.41596245765686,-6.535515189170837,25.95546841621399,23.636028170585632,,,,,,Null
2026-06-02 09:13:02.388+00,6021713,13.425573706626892,-6.524518132209778,25.987744331359863,23.6634761095047,,,,,,Null
2026-06-02 09:13:02.388+00,6021713,,,,,1,1,0.034638162702322006,0.23188890516757965,-4.162079811096191,Null
2026-06-02 09:13:02.392+00,6021713,13.432636857032776,-6.527915596961975,26.001915335655212,23.671209812164307,,,,,,Null
2026-06-02 09:13:02.396+00,6021713,13.430312275886536,-6.52545690536499,25.98246932029724,23.658469319343567,,,,,,Null
2026-06-02 09:13:02.4+00,6021713,13.433128595352173,-6.522506475448608,25.950953364372253,23.62699806690216,,,,,,Null
2026-06-02 09:13:02.4+00,6021713,,,,,1,1,0.03498812019824982,0.23151043057441711,-4.1624932289123535,Null
